2 4 4 3 2 2 5 3
6 1 5 2 5 2 6 2 5 4 2 5
3 5 4 4 4

6 4 4 1 3 5 4
3 2 2 5 4 4
2 5 2 6

3 2 5 4 2 5
                          
0 1 2 3 4 5 6 7 8 9 A B C D E
1 2 3 4 5 6 7 8 9 A B C D E 0
2 3 4 5 6 7 8 9 A B C D E 0 1
3 4 5 6 7 8 9 A B C D E 0 1 2
4 5 6 7 8 9 A B C D E 0 1 2 3
5 6 7 8 9 A B C D E 0 1 2 3 4
6 7 8 9 A B C D E 0 1 2 3 4 5
7 8 9 A B C D E 0 1 2 3 4 5 6
8 9 A B C D E 0 1 2 3 4 5 6 7
9 A B C D E 0 1 2 3 4 5 6 7 8
A B C D E 0 1 2 3 4 5 6 7 8 9
B C D E 0 1 2 3 4 5 6 7 8 9 A
C D E 0 1 2 3 4 5 6 7 8 9 A B
D E 0 1 2 3 4 5 6 7 8 9 A B C
E 0 1 2 3 4 5 6 7 8 9 A B C D

